Afrikaans	Danish	Dutch	English	Esperanto	Filipino	French	German	Hawaiian	Irish	Italian	Latin	Maori	Norwegian	Portuguese	Sachin-Speak	Spanish	Swahili	Swedish	Welsh	Zulu	
krag	kraft	kracht	force	forto	puwersa	force	kraft	ikaika	bhfeidhm	vigore	vi	kaha	kraft	força	?	fuerza	nguvu	kraft	grym	isicindezelo	
blou	blå	blauw	blue	blua	asul	bleu	blau	polū	gorm	blu	hyacintho	puru	blå	azul	?	azul	bluu	blå	glas	eluhlaza	
voorwerp	objekt	object	object	objekto	bagay	objet	objekt	mea	réad	oggetto	obiectum	ahanoa	objekt	objeto	?	objeto	kitu	objektet	gwrthrych	intfo	
besluit	beslutte	beslissen	decide	decidi	magpasiya	décider	entscheiden	hooholo	cinneadh a dhéanamh	decidere	decernere	whakatau	bestemme	decidir	?	decidir	kuamua	besluta	penderfynu	unqume	
oppervlak	overflade	oppervlak	surface	surfaco	pang-ibabaw	surface	oberfläche	ili	dromchla	superficie	superficies	mata	overflaten	superfície	?	superficie	uso	yta	wyneb	ngaphandle	
diep	dyb	diepe	deep	profunda	malalim	profond	tief	hohonu	domhain	profondità	abyssus	hohonu	dyp	profunda	?	profunda	kina	djup	dwfn	ezijulile	
maan	månen	maan	moon	luno	gumala	lune	mond	luna	gealach	luna	lunam	marama	månen	lua	?	luna	mwezi	månen	lleuad	inyanga	
eiland	ø	eiland	island	insulo	isla	île	insel	mokupuni	oileán	isola	insulam	motu	øy	ilha	?	isla	kisiwa	ö	ynys	esiqhingini	
voet	fod	voet	foot	piedo	paa	pied	fuß	wawae	cos	piede	pede	waewae	foten	pé	?	pie	mguu	fot	droed	ngezinyawo	
stelsel	systemet	systeem	system	sistemo	sistema	système	system	nenoaiu	córas	sistema	ratio	pūnaha	system	sistema	?	sistema	mfumo	systemet	system	uhlelo	
besig	travlt	drukke	busy	okupata	maraming ginagawa	occupé	beschäftigt	ʻō i	gnóthach	occupato	occupatus	pukumahi	opptatt	ocupado	?	ocupado	busy	upptagen	brysur	umatasa	
toets	test	toets	test	testo	pagsubok	test	prüfung	hōʻike	tástáil	test	aliquam	whakamātautau	test	teste	?	prueba	mtihani	testet	prawf	ukulinga	
rekord	rekord	opnemen	record	rekordo	talaan	record	rekord	mooolelo	taifead	record	testimonium	record	rekord	registro	?	registro	rekodi	register	cofnod	amarekhodi	
boot	båd	boot	boat	kruĉo	bangka	bateau	boot	moku	bád	barca	navicula	kaipuke	båt	barco	?	barco	mashua	båt	cwch	isikebhe	
gemeenskaplike	fælles	gemeenschappelijke	common	komunaj	karaniwan	commun	gemeinsam	like	coitianta	comune	commune	noa	felles	comum	?	común	kawaida	gemensam	gyffredin	ezivamile	
goud	guld	goud	gold	oro	ginto	or	goldenen	gula	óir	oro	aurum	koura	gull	ouro	?	oro	dhahabu	guld	aur	igolide	
moontlik	mulig	mogelijk	possible	ebla	posible	possible	möglich	hiki	féidir	possibile	potest	taea	mulig	possível	?	posible	iwezekanavyo	möjlig	bosibl	kunokwenzeka	
vliegtuig	planet	vliegtuig	plane	ebeno	eroplano	plan	flugzeug	pelane	eitleán	piano	planum	plane	planet	avião	?	plano	ndege	plan	awyren	indiza	
plek	stedet	plaats	stead	anstataux	stead	place	statt	wahi	ionad	vece	pro eo	i muri ia ia	stedet	lugar	?	lugar	badala	stead	le ef	esikhundleni	
droë	tør	droge	dry	seka	dry	sec	trocken	maloo	tirim	asciutto	siccum	maroke	tørk	seca	?	seco	kavu	torka	sych	eyomile	
wonder	spekulerer	afvragen	wonder	demandas	wonder	se demander	wunder	hoohuoi	wonder	meraviglia	admiramini	uiui nei	rart	pergunto	?	maravilla	ajabu	undra	tybed	bayazibuza	
lag	grine	lachen	laugh	ridon	patawanin	rire	lachen	akaaka	gáire	ridere	rideat	i kata	latter	risada	?	risa	kucheka	skratt	chwerthin	uhleko	
duisend	tusinde	duizend	thousand	milo	libo	mille	tausend	tausani	míle	migliaia	milia	mano	tusen	mil	?	mil	elfu	tusen	mil	abayizinkulungwane	
gelede	siden	geleden	ago	monato	nakaraan	il ya	vor	aku nei	ó shin	fa	ago	i ma’iri a’e nei	siden	atrás	?	hace	iliyopita	sedan	yn ôl	edlule	
hardloop	løb	ran	ran	kuris	pinatatakbo ng	ran	lief	holo	rith	corse	cucurrit	rere	ran	ran	?	corrió	mbio	ran	rhedodd	wagijimela	
kyk	tjek	controleren	check	kontroli	suriin	vérifier	überprüfen	huli	seiceáil	controllare	reprehendo	taki	sjekk	verifique	?	comprobar	kuangalia	ta	gwirio	hlola	
spel	spil	spel	game	ludo	laro	jeu	spiel	hihiu	cluiche	gioco	ludum	game	spill	jogo	?	juego	mchezo	spel	gêm	mdlalo	
vorm	form	vorm	shape	formo	hugis	forme	form	helehelena	cruth	forma	figura	hanga	form	forma	?	forma	sura	form	siâp	uhlobo	
gelyk	sidestille	gelijk	equate	egaligas	tutumbas	assimiler	gleichsetzen	equate	ionann	uguagliare	aequat	whakaōrite i	likestille	equiparar	?	equiparar	wanalinganisha	likställa	cyfateb	bathi	
warm	varmt	heet	hot	varmega	mainit	chaud	heiß	anal	te	caldo	calidum	wera	hot	quente	?	caliente	moto	het	poeth	ashisayo	
mis	miss	miss	miss	miss	tamaan	manquer	fehl	miss	chailleann	perdere	requisierit	pahemo	savner	senhorita	?	señorita	miss ya	miss	miss	miss	
gebring	bragt	bracht	brought	alportis	nagdala	apporté	gebracht	lawe mai	thug	portato	adduxerunt	kawea	brakte	trouxe	?	traído	kuletwa	bringas	dwyn	baletha	
hitte	varme	warmte	heat	varmo	init	chaleur	wärme	wela	teas	calore	calor	wera	hete	calor	?	calor	joto	hetta	gwres	ukushisa	
sneeu	sne	sneeuw	snow	neĝo	snow	neige	schnee	hau	sneachta	neve	nix	hukarere	snø	neve	?	nieve	theluji	snö	eira	iqhwa	
band	dæk	band	tire	pneŭo	gulong	pneu	reifen	kaea	bonn	pneumatico	piget	mauiui	dekk	pneu	?	neumáticos	tairi	däcket	teiars	isondo	
bring	bringe	brengen	bring	alporti	dalhin	apporter	bringen	lawe mai	thabhairt	portare	adducet	kawea	bringe	trazer	?	traer	kuleta	bringa	dod â	ukuletha	
ja	ja	ja	yes	jes	yes	oui	ja	ʻae	yes	sì	etiam	ae	ja	sim	?	sí	ndiyo	ja	ie	yebo	
verre	fjernt	verre	distant	malproksima	malayo	lointain	entfernt	ke kaawale ana	i bhfad i gcéin	lontano	distant	tawhiti	fjernt	distante	?	distante	mbali	avlägsen	bell	ezikude	
vul	fylde	vullen	fill	plenigi	punuin	remplir	füllen	hoopiha	líonadh	riempire	imple	whakakiia e	fylle	preencher	?	llenar	kujaza	fylla	llenwi	ukugcwalisa	
oos	øst	oosten	east	oriente	silangan	est	osten	ka hikina	soir	est	orientem	rawhiti	øst	leste	?	al este	mashariki	öst	ddwyrain	empumalanga	
verf	maling	schilderen	paint	pentri	pintahan	peindre	malen	pena	péint	dipingere	pingere	peita	maling	pintar	?	pintar	rangi	måla	paent	ukupenda	
taal	sprog	taal	language	lingvo	wika	langue	sprache	ʻōlelo	teanga	lingua	lingua	te reo	språk	linguagem	?	idioma	lugha	språk	iaith	lulwimi	
onder	blandt	onder	among	inter	kasama ng	entre	unter	mawaena o	i measc	tra	in	i roto i	blant	entre	?	entre	kati ya	bland	ymhlith	phakathi	
eenheid	enhed	eenheid	unit	unuo	yunit	unité	einheit	pa alima	aonad	unità	unitas	kōwae	enhet	unidade	?	unidad	kitengo	enhet	uned	unit	
krag	magt	kracht	power	potenco	kapangyarihan	puissance	macht	mana	cumhacht	potenza	potestatem	mana	makt	poder	?	potencia	nguvu	kraft	pŵer	amandla	
dorp	by	stad	town	urbo	bayan	ville	stadt	kulanakauhale	baile	città	urbem	pa	byen	cidade	?	ciudad	mji	stad	dref	town	
fyn	bøde	fijne	fine	fajna	mainam	fin	fein	uku	fíneáil	fine	postremo	pai	bot	multa	?	fina	faini	fin	dirwy	emihle	
sekere	vis	bepaalde	certain	certaj	tiyak	certain	sicher	kekahi	áirithe	certo	quaedam	etahi	viss	certo	?	cierto	baadhi ya	viss	penodol	ezithile	
vlieg	flyve	vliegen	fly	muŝo	lumipad	voler	fliegen	lele	eitilt	volare	fuge	rere	fly	voar	?	volar	kuruka	flyga	hedfan	ijeka manzi	
val	falde	vallen	fall	fali	mahulog	tomber	fallen	haule	titim	cadere	ceciderit	hinga	høst	cair	?	caer	kuanguka	falla	disgyn	awe	
lei	føre	leiden	lead	konduki	pangunahan	conduire	führen	alakai	luaidhe	portare	ducit	arahi	føre	conduzir	?	conducir	kusababisha	bly	arwain	kuholele	
geroep	råb	huilen	cry	krio	sigaw	cri	schrei	kahea ana	caoin	grido	clamor	karanga	gråte	grito	?	grito	kilio	rop	crio	khala	
donker	mørk	donker	dark	mallumo	dark	sombre	dunkel	pouli	dorcha	scuro	obscuro	pouri	mørk	escuro	?	oscuro	giza	mörk	tywyll	amnyama	
masjien	maskine	apparaat	machine	maŝino	makina	machine	maschine	maker	meaisín	macchina	apparatus	mihini	maskin	máquina	?	máquina	mashine	maskin	peiriant	umshini	
noot	notat	noot	note	noto	tala	note	note	palapala aie	nóta	nota	note	tuhipoka	notat	nota	?	nota	note	anteckning	nodyn	inothi	
wag	vente	wachten	wait	atendi	maghintay	patienter	warten	kali	fan	aspettare	exspecta	tatari	vente	esperar	?	espere	kusubiri	vänta	aros	ulinde	
plan	plan	plannen	plan	plano	plano	plan	plan	kuka	plean	piano	consilium	mahere	planen	plano	?	plan de	mpango	planen	cynllun	hlela	
figuur	figur	figuur	figure	cifero	pigura	figure	abbildung	huahelu	figiúr	figura	figura	ahua	figur	figura	?	figura	takwimu	figur	ffigur	ukulinganisa	
ster	stjerne	ster	star	stelo	star	étoile	stern	hoku	réalta	stella	stella	whetu	stjerners	estrela	?	estrella	nyota	stjärna	seren	ikhwezi	
box	kasse	doos	box	skatolo	kahon	boîte	kasten	pahu	bosca	scatola	box	pouaka	boks	caixa	?	caja	sanduku	låda	blwch	ibhokisi	
naamwoord	navneord	zelfstandig naamwoord	noun	substantivo	pangngalan	nom	nomen	noun	ainmfhocail	sostantivo	noun	noun	substantiv	substantivo	?	sustantivo	nomino	subst	enw	ibizo	
gebied	felt	veld	field	kampo	patlang	domaine	feld	mahinaʻai	réimse	campo	agro	mara	felt	campo	?	campo	shamba	fält	maes	ifusi	
res	hvile	rest	rest	resto	pahinga	reste	rest	maha	chuid eile	resto	reliqua	era atu	resten	resto	?	resto	wengine	resten	gorffwys	ukuphumula	
korrekte	korrekt	juist	correct	ĝusta	tama	correct	richtig	pololei	ceart	corretto	recte	tika	riktig	correto	?	correcta	sahihi	korrekt	gywir	lobenele	
staat	stand	in staat	able	povis	magagawa	capable	fähig	hiki	ann	in grado di	potest	taea	stand	capaz	?	capaz	uwezo	kunna	gallu	ekwazi	
pond	pund	pond	pound	funto	pound	livre	pfund	paona	punt	libbra	libra	pauna	pund	libra	?	libra	chupa	pund	punt	ipondo	
gedoen	gjort	gedaan	done	farita	tapos	terminé	getan	hana	rinneadh	done	factum	mea ai	gjort	done	?	hecho	kutenda	klar	da	wenziwe	
skoonheid	skønhed	schoonheid	beauty	beleco	beauty	beauté	schönheit	nani	áilleacht	bellezza	pulchritudo	ataahua	skjønnhet	beleza	?	belleza	uzuri	skönhet	harddwch	ubuhle	
ry	køretur	rijden	drive	disko	biyahe	entraînement	antriebs	a holo	tiomáint	unità	coegi	puku	kjøring	unidade	?	unidad	gari	enhet	gyriant	qhuba	
staan	stod	stond	stood	staris	nakatayo	résisté	stand	ku	sheas	sorgeva	stetit	tu	sto	se	?	destacado	alisimama	stod	sefyll	wema	
bevat	indeholder	bevatten	contain	enhavi	may	contenir	enthalten	no	go bhfuil	contenere	continent	kei roto i	inneholde	contêm	?	contener	vyenye	innehålla	cynnwys	aqukethe	
front	forside	voorzijde	front	antaŭa	front	avant	front	alo	tosaigh	frontale	ante	mua	foran	frente	?	delante	mbele	främre	blaen	phambili	
leer	undervise	leren	teach	instruos	magturo	enseigner	lehren	ao	mhúineadh	insegnare	docebit	e whakaako	undervise	ensinar	?	enseñar	kufundisha	undervisa	dysgu	sifundise	
week	uge	week	week	semajno	linggo	semaine	woche	pule	seachtain	settimana	week	wiki	uke	semana	?	semana	wiki	vecka	wythnos	ngesonto	
finale	endelig	finale	final	lasta	panghuling	finale	finale	hope loa	deiridh	finale	ultima	whakamutunga	endelig	finais	?	último	mwisho	slutlig	terfynol	sokugcina	
gegee	gav	gaf	gave	donis	ibinigay	donné	gab	haawi	thug	ha dato	deditque	i hoatu	ga	deu	?	dio	alitoa	gav	rhoddodd	wanikela	
groen	grøn	groen	green	verda	berde	vert	grün	ʻōlelo	glas	verde	viridem	matomato	grønn	verde	?	verde	kijani	grön	gwyrdd	oluhlaza	
o	oh	oh	oh	oh	oh	oh	oh	oh la	curfá	oh	o	oh	oh	ó	?	oh	oh	ack	oh	awu	
vinnige	hurtig	snel	quick	rapida	mabilis	rapide	schnell	poe ola	tapaidh	veloce	acutus	tere	rask	rápida	?	rápido	haraka	sammanfattning	cyflym	okusheshayo	
ontwikkel	udvikle	ontwikkelen	develop	evoluigi	bumuo	développer	entwickeln	hoʻomōhala	fhorbairt	sviluppare	evolvere	whakawhanake	utvikle	desenvolver	?	desarrollar	kuendeleza	utveckla	datblygu	ukuthuthukisa	
oseaan	havet	oceaan	ocean	oceano	karagatan	océan	ozean	moana	farraige	oceano	oceanus	moana	ocean	oceano	?	océano	bahari	ocean	cefnfor	ulwandle olukhulu	
warm	varm	warme	warm	varma	mainit-init	chaud	warme	pumehana	te	caldo	calidum	mahana	varm	quente	?	caliente	joto	varm	gynnes	afudumele	
gratis	fri	gratis	free	senpaga	libre	gratuit	kostenlos	like me	saor in aisce	gratuito	absque	noa	gratis	livre	?	libre	bure	fri	rhad ac am ddim	khulula	
minuut	minut	minuut	minute	minuto	minutong	minute	minute	minuke	nóiméad	minuto	minute	meneti	minutt	minuto	?	minuto	dakika	minut	munud	ngeminithi	
sterk	stærk	sterke	strong	forta	malakas	fort	stark	ikaika	láidir	forte	confortare	kaha	sterk	forte	?	fuerte	nguvu	stark	gryf	oqinile	
spesiale	særlige	speciaal	special	speciala	espesyal na	spécial	besondere	kūikawā	speisialta	speciale	peculiarem	motuhake	spesiell	especial	?	especial	maalum	speciell	arbennig	ekhethekile	
gedagte	sind	geest	mind	menso	isip	esprit	geist	manao	aigne	mente	animus	whakaaro	sinn	mente	?	mente	akili	sinne	meddwl	kwengqondo	
agter	bag	achter	behind	malantaŭ	sa likod ng	derrière	hinter	mahope	taobh thiar	dietro	retro	ki muri	bak	atrás	?	detrás	nyuma ya	bakom	y tu ôl i	ngemuva	
duidelik	klar	duidelijk	clear	evidenta	malinaw	clair	klar	maopopo	soiléir	chiaro	patet	mārama	klar	claro	?	claro	wazi	klar	glir	ecacile	
stert	hale	staart	tail	vosto	buntot	queue	schwanz	huelo	eireaball	coda	caudae	hiku	halen	cauda	?	cola	mkia	svans	gynffon	umsila	
produseer	producere	produceren	produce	produkti	gumawa	produire	produzieren	paka	ar aird	produrre	producere	te whakaputa	produsere	produzir	?	produce	kuzalisha	producera	cynhyrchu	khiqiza	
trouens	kendsgerning	feit	fact	fakto	katunayan	fait	tatsache	mea	go deimhin	fatto	eo	meka	faktisk	fato	?	hecho	ukweli	faktum	ffaith	empeleni	
ruimte	rum	ruimte	space	spaco	puwang	espace	raum	makahiki	spás	spazio	locus	wāhi	plass	espaço	?	espacio	nafasi	space	gofod	isikhala	
gehoor	hørt	gehoord	heard	aŭdis	narinig	entendu	gehört	lohe	éisteacht	sentito	audivit	rongo	hørt	ouvido	?	oído	habari	hört	clywed	wezwa	
beste	bedst	best	best	bona	pinakamahusay	meilleur	beste	pono	fearr	migliore	optimum	pai	beste	melhor	?	mejor	bora	bäst	gorau	umhlabeleli	
uur	time	uur	hour	horo	oras	heure	stunde	hola	uair an chloig	ora	hora	haora	time	horas	?	horas	saa	timme	awr	ngehora	
beter	bedre	beter	better	pli	mas mabuti	mieux	besser	maikai	níos fearr	meglio	melius	pai	bedre	melhor	?	mejor	bora	bättre	gwell	kangcono	
ware	sand	ware	true	vera	totoo	vrai	wahr	oiaio	fíor	vero	verum	pono	sant	verdade	?	verdadero	kweli	sant	yn wir	kuyiqiniso	
tydens	i løbet af	tijdens	during	dum	sa panahon ng	pendant	während	iloko o	le linn	durante	per	i roto i	under	durante	?	durante	wakati wa	under	yn ystod	ngesikhatsi	
honderd	hundrede	honderd	hundred	cent	daang	cent	hundert	haneri	céad	cento	centum	rau	hundre	cem	?	cien	mia	hundra	cant	angamakhulu	
vyf	fem	vijf	five	kvin	lima	cinq	fünf	ʻelima	cúig	cinque	quinque	e rima	fem	cinco	?	cinco	tano	fem	pump	ezinhlanu	
onthou	huske	onthouden	remember	memori	tandaan	rappeler	merken	no	cuimhnigh	ricordare	memores	mahara	huske	lembre-se	?	recordar	kumbuka	minnas	cofio	ukhumbule	
stap	trin	stap	step	paŝo	hakbang	étape	schritt	ʻanuʻu	céim	passo	step	taahiraa	trinn	passo	?	paso	hatua	steg	cam	isinyathelo	
vroeë	tidligt	vroeg	early	frua	maagang	tôt	früh	koke	go luath	presto	mane	wawe	tidlig	cedo	?	temprana	mapema	tidig	gynnar	zakuqala	
hou	holde	houden	hold	teni	matagalan	tenir	halten	paa	shealbhú	tenere	tenent	mau	holde	segurar	?	mantenga	kushikilia	håll	dal	ubambe	
west	vest	west	west	okcidenta	kanluran	ouest	westen	komohana	siar	ovest	occasu	hauauru	vest	oeste	?	oeste	magharibi	väster	orllewin	ngasentshonalanga	
grond	jorden	grond	ground	tero	lupa	sol	boden	honua	talamh	terra	terra	whenua	bakken	solo	?	suelo	ardhi	jord	ddaear	emhlabathini	
belangstelling	interesse	rente	interest	intereson	interes	intérêt	interesse	panee	ús	interesse	interest	pānga	interesse	juros	?	interés	maslahi	intresse	llog	isithakazelo	
bereik	nå	bereiken	reach	alveni	maabot	atteindre	erreichen	hiki	a bhaint amach	raggiungere	attingere	tae	nå	alcançar	?	llegar	kufikia	nå	cyrraedd	afinyelele	
vinnig	hurtigt	snel	fast	rapida	mabilis	rapide	schnell	hookeai	tapa	veloce	ieiunium	nohopuku	rask	rápido	?	rápido	haraka	snabb	cyflym	bambelela	
werkwoord	verbum	werkwoord	verb	verbo	pandiwa	verbe	verbum	verb	briathar	verbo	verbo	verb	verb	verbo	?	verbo	kitenzi	verb	berf	sento	
sing	synge	zingen	sing	kanti	kantahin	chanter	singen	mele	chanadh	cantare	cantabo	waiata	synge	cantar	?	cantar	kuimba	sjunger	canu	sihlabelele	
luister	lytte	luisteren	listen	aŭskulti	makinig	écouter	hören	hoolohe	éisteacht	ascoltare	audite	whakarongo	lytte	ouça	?	escuchar	kusikiliza	lyssna	gwrando	ulalele	
ses	seks	zes	six	ses	anim	six	sechs	ʻanuʻu	sé	sei	sex	e ono	seks	seis	?	seis	sita	sex	chwech	eziyisithupha	
tafel	tabel	tafel	table	tablo	talahanayan	table	tabelle	papaʻaina	tábla	tavolo	mensamque	tepu	bord	mesa	?	mesa	meza	tabell	tabl	ithebula	
reis	rejser	reizen	travel	vojaĝado	paglalakbay	voyage	reise	hele	taisteal	viaggi	peregrinationes	haere	reise	viagens	?	viajes	usafiri	resor	teithio	hamba amazwe	
minder	mindre	minder	less	malpli	mas	moins	weniger	emi	níos lú	meno	minor	iti iho	mindre	menos	?	menos	chini ya	mindre	llai	esingaphansi	
oggend	formiddag	ochtend	morning	mateno	umaga	matin	morgen	kakahiaka	maidin	mattina	mane	ata	morgen	manhã	?	mañana	asubuhi	morgon	bore	ekuseni	
tien	ti	tien	ten	dek	sampu	dix	zehn	ʻumi	deich	dieci	decem	tekau	ti	dez	?	diez	kumi	tio	deg	eziyishumi	
eenvoudige	simpelt	eenvoudig	simple	simpla	simple	simple	einfach	mea	simplí	semplice	simplex	simple	enkel	simples	?	sencilla	rahisi	enkel	syml	elula	
verskeie	flere	verscheidene	several	pluraj	ilang	plusieurs	mehrere	mau	roinnt	alcuni	plures	e rave rahi	flere	vários	?	varios	kadhaa	flera	nifer	eziningana	
vokaal	vokal	klinker	vowel	vokalo	patinig	voyelle	vokal	vowel	guta	vocale	vocali	oropuare	vokal	vogal	?	vocal	vowel	vokal	llafariad	unkamisa	
teenoor	mod	in de richting van	toward	rilate	patungo	vers	auf	ma	i dtreo	verso	in	ki	mot	direção	?	hacia	kuelekea	mot	tuag	bubheke	
oorlog	krig	oorlog	war	milito	digmaan	guerre	krieg	kaua	cogadh	guerra	bellum	te whawhai	krig	guerra	?	guerra	vita	krig	rhyfel	ukulwa	
lê	lægge	leggen	lay	kuŝis	mag-ipon	poser	legen	waiho	leagan	porre	dormivitque	takoto	lå	lay	?	sentar	kuweka	låg	lleyg	walala	
teen	mod	tegen	against	kontraŭ	laban	contre	gegen	ku	i gcoinne	contro	contra	ki	mot	contra	?	contra	dhidi ya	mot	erbyn	ngokumelene	
patroon	mønster	patroon	pattern	ŝablono	pattern	modèle	muster	kumu	patrún	modello	exemplar	tauira	mønster	padrão	?	patrón	muundo	mönster	patrwm	iphethini	
stadig	langsom	langzaam	slow	malrapida	mabagal	lent	schleppend	kali	mall	lento	tardus	puhoi	langsom	lento	?	lenta	polepole	långsam	araf	wephuza	
sentrum	centrum	centrum	center	centro	center	centre	zentrum	kikowaena	ionad	centro	centrum	te pokapū	senter	centro	?	centro	kituo cha	centrum	canolfan	isikhungo	
liefde	elsker	liefde	love	love	pag-ibig	amour	liebe	aloha	grá	amore	amant	aroha	elsker	amo	?	amar	upendo	kärlek	wrth eu bodd	athande	
persoon	person	persoon	person	persono	tao	personne	person	kanaka	duine	persona	aliquis	tangata	personer	pessoa	?	persona	mtu	personen	person	umuntu	
geld	penge	geld	money	monon	pera	argent	geld	kala	airgead	soldi	pecuniam	moni	penger	dinheiro	?	dinero	fedha	pengar	arian	imali	
dien	tjene	dienen	serve	servas	maghatid	servir	dienen	malama	freastal	servire	serviant	e mahi	tjene	servir	?	servir	kutumika	tjäna	gwasanaethu	ukukhonza	
verskyn	synes	verschijnen	appear	aperi	lumitaw	apparaître	erscheinen	hele mai	le feiceáil	apparire	appareant	puta	vises	aparecer	?	aparecerá	itaonekana	synas	ymddangos	avele	
pad	vej	weg	road	vojo	kalsada	route	straße	alanui	bóthar	strada	via	te ara	vei	estrada	?	carretera	barabara	väg	ffordd	umgwaqo	
kaart	kort	kaart	map	mapo	mapa	carte	karte	palapala ʻāina	léarscáil	mappa	tabula	map	kartet	mapa	?	mapa	ramani	karta	fap	ibalazwe	
reën	regn	regen	rain	pluvo	ulan	pluie	regen	ka ua	báisteach	pioggia	pluviae	ua	regn	chuva	?	lluvia	mvua	regn	glaw	nemvula	
reël	regel	regel	rule	regulo	panuntunan	règle	regel	rula	riail	regola	imperium	tikanga	regelen	regra	?	regla	utawala	regel	rheol	ukubusa	
regeer	regere	regeren	govern	regi	namamahala sa	gouverner	regieren	hoomalu	rialaíonn	governare	regunt	faatere i	regulerer	governar	?	gobernar	serikali	regera	llywodraethu	phatha	
trek	træk	trek	pull	tiri	hilahin	tirer	ziehen	huki	tarraingt	tirare	attrahendam	hutia	trekke	puxe	?	halar	kuvuta	dra	tynnu	donsa	
koue	kold	koude	cold	malvarma	malamig	froid	kälte	anu	fuar	freddo	frigus	matao	kaldt	frio	?	frío	baridi	förkylning	oer	ezibandayo	
kennisgewing	varsel	kennisgeving	notice	anonco	notice	avis	hinweis	hoike	fógra	avviso	observate	pānui	varsel	aviso	?	aviso	ilani	meddelande	rhybudd	isaziso	
stem	stemme	stem	voice	voĉo	boses	voix	stimme	leo	guth	voce	vox	reo	stemme	voz	?	voz	sauti	röst	llais	ngezwi	
energie	energi	energie	energy	energion	enerhiya	énergie	energie	ikehu	fuinnimh	energia	navitas	pūngao	energi	energia	?	energía	nishati	energi	ynni	amandla	
jag	jagt	hunt	hunt	ĉasi	hunt	chasse	jagd	i hoʻohālua	fiach	caccia	hunt	whaiwhai	jakt	caça	?	caza	kuwinda	jakt	helfa	ukuhlasela	
waarskynlike	sandsynlig	waarschijnlijk	probable	probabla	malamang	probable	wahrscheinlich	paha	is dócha	probabile	probabile	pea	sannsynlig	provável	?	probable	kinachowezekana	trolig	tebygol	kungenzeka	
bed	seng	bedden	bed	lito	kama	lit	bett	moe	leaba	letto	cubili	moenga	seng	cama	?	cama	kitanda	bädd	gwely	embhedeni	
broer	bror	broer	brother	fraton	kapatid na lalaki	frère	bruder	kaikuaʻana kaikaina	deartháir	fratello	frater	teina	bror	irmão	?	hermano	ndugu	bror	brawd	umfowabo	
eier	æg	ei	egg	ovo	itlog	œuf	ei	hua	ubh	uovo	ovum	hua	egg	ovo	?	huevo	yai	ägg	wy	iqanda	
rit	tur	rit	ride	ride	pagsakay	tour	fahrt	no lilo	marcaíochta	giro	ride	tere	ride	passeio	?	paseo	safari	ritt	taith	gibela	
sel	celle	cel	cell	ĉelo	cell	cellule	zelle	aeea	cill	cella	cell	pūtau	celle	celular	?	celular	kiini	cell	cell	iseli	
glo	tro	geloven	believe	kredas	maniwala	croire	glauben	manaoio	creidim	credere	credere	te whakapono	tror	acreditar	?	creer	amini	tro	yn credu	bakholwe	
miskien	måske	misschien	perhaps	eble	marahil	peut-être	vielleicht	paha	b’fhéidir	forse	forsan	pea	kanskje	talvez	?	quizás	labda	kanske	efallai	mhlawumbe	
kies	pick	pick	pick	pick	pumili	choisir	pflücken	e koho i	pioc	scegliere	colligunt	tangohia	plukke	escolher	?	recoger	kuchukua	plocka	ddewis	vuna	
skielike	pludselige	plotseling	sudden	subita	walang anu-ano	soudain	plötzlich	ulia	tobann	improvviso	repentino	ohorere	plutselige	súbita	?	repentina	ghafla	plötslig	sydyn	engazelelwe	
tel	tælle	tellen	count	kalkuli	bilangin	compter	zählen	helu	comhaireamh	contare	numerabitis	tatau	teller	contar	?	contar	kuhesabu	räkna	cyfrif	ukubala	
vierkante	firkantet	square	square	kvadrata	parisukat	carré	platz	pāhoʻonui	cearnach	piazza	quadratum	tapawha	square	quadrado	?	plaza	mraba	kvadrat	sgwâr	igceke	
rede	årsag	reden	reason	kialo	dahilan	raison	grund	kumu	chúis	motivo	ideo	take	grunnen	razão	?	razón	sababu	anledningen	rheswm	isizathu	
lengte	længde	lengte	length	longo	haba	longueur	dauer	loa	fad	lunghezza	longitudinis	roa	lengde	comprimento	?	longitud	urefu	längd	hyd	ubude	
verteenwoordig	repræsentere	vertegenwoordigen	represent	reprezentas	katawanin	représenter	vertreten	ho i	ionadaíocht a dhéanamh	rappresentare	repraesentant	tohu	representerer	representar	?	representar	kuwakilisha	representerar	cynrychioli	bamele	
kuns	kunst	kunst	art	arto	sining	art	kunst	oe	ealaín	arte	art	koe	kunst	arte	?	arte	sanaa	teknikområdet	celf	yobuciko	
onderwerp	emne	onderwerp	subject	subjekto	paksa	sujet	thema	kumuhana	ábhar	soggetto	subiectum	i raro	lagt	assunto	?	sujeto	somo	ämne	pwnc	isihloko	
streek	regionen	regio	region	regiono	rehiyon	région	region	māhele	réigiún	regione	regionem	rohe	region	região	?	región	kanda	region	rhanbarth	isifunda	
grootte	størrelse	grootte	size	grandeco	laki	taille	größe	ka nui	méid	dimensione	amplitudo	rahi	størrelse	tamanho	?	tamaño	ukubwa	storlek	maint y	usayizi	
wissel	variere	variëren	vary	varios	mag-iba	varier	variieren	lauwili	athrú	variare	variant	rerekē	variere	variar	?	variar	kutofautiana	varierar	amrywio	ziyehluka	
vestig	bosætte	vestigen	settle	starigi	tumira	régler	regeln	hoonoho au	réiteach	risolvere	habita	whakatau	bosette	resolver	?	resolver	kuishi	sedimentera	setlo	hlela	
